feature,mean_abs_shap,mean_shap
feat_mean_security_penalty,0.42599890254676875,-0.06620750853627343
feat_security_penalty_cumul,0.3881344494677473,-0.11598107841975719
feat_mean_network_penalty,0.3825234564489026,-0.21552624241527488
feat_mean_remaining_mig,0.38248134854304455,0.17481058832320168
feat_vim1_ram,0.3350036550636074,-0.12246354578046632
feat_max_network_penalty,0.2813498129563296,0.14080767138497968
feat_mean_remaining_reinst,0.24859054783667825,0.15506658518791497
feat_vim0_ram,0.16138714508236676,-0.010214071725527116
feat_total_ues,0.12226751880835289,-0.04294432561623823
feat_vim1_cpu,0.1029755648869789,0.0367227778777452
feat_max_security_penalty,0.05467133172873114,0.048186725797239864
feat_vim0_cpu,0.03582676175419481,0.01634414284485014
feat_min_remaining_mig,0.0034134978802192934,0.0013891186739619457
feat_mean_mtd_overhead,0.00032144394014616944,9.162403642914931e-06
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
