feature,mean_abs_shap,mean_shap
feat_security_penalty_cumul,0.8153880884776293,-0.3177548420505172
feat_mean_security_penalty,0.6996125707851707,0.16259319587565313
feat_mean_network_penalty,0.5842834560527059,-0.24559928592173413
feat_mean_remaining_reinst,0.36628350921098995,0.33206924590651454
feat_max_network_penalty,0.36049139651762996,0.21602932078571693
feat_mean_remaining_mig,0.23755251423087897,-0.14901157890936534
feat_vim0_ram,0.218819642142564,-0.04321799104897232
feat_vim1_ram,0.21439694309448382,0.05579247278618472
feat_max_security_penalty,0.1476400612443684,-0.0841941410813519
feat_total_ues,0.14516181461596722,0.06722910701729772
feat_min_remaining_mig,0.07190181214984613,-0.009112177518027537
feat_vim1_cpu,0.04038510527903499,0.003277946051426149
feat_vim0_cpu,0.03242759974196994,0.012336869952345085
feat_mean_mtd_overhead,0.0018895629190573348,-0.0004381418451709167
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
