feature,mean_abs_shap,mean_shap
feat_steps_since_last_mtd,2.5006874412231785,-0.007850889203973383
feat_max_network_penalty,0.2917684866543785,-0.029095981877134535
feat_mean_network_penalty,0.2608582923006412,0.024349468408803393
feat_security_penalty_cumul,0.21373173332326992,-0.06681648476886137
feat_vim1_ram,0.19757659814477205,-0.01259470587063996
feat_mean_security_penalty,0.11026293614009017,0.06722838696148968
feat_total_ues,0.10463809939828946,-0.03713058458899359
feat_vim0_ram,0.09637901466228035,0.013179383127990838
feat_mean_remaining_reinst,0.08527985395163754,0.005137701686110597
feat_mean_remaining_mig,0.07606331992318952,0.05516452430987261
feat_vim0_cpu,0.07541546891907153,0.015499509027952385
feat_vim1_cpu,0.07085839916744463,-0.022529507912931384
feat_max_security_penalty,0.01464120230065884,-0.004756002968122007
feat_min_remaining_mig,0.001620483997355728,0.00011540477777219543
feat_mean_mtd_overhead,0.000309089144113944,9.977889066282853e-05
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
