feature,mean_abs_shap,mean_shap
feat_steps_since_last_mtd,0.39399473583811445,-0.017521593973911523
feat_mean_remaining_mig,0.32855419312064355,-0.10152879953986826
feat_security_penalty_cumul,0.263526898949432,0.1650151074342107
feat_mean_network_penalty,0.2578622744398693,-0.1457424769706316
feat_max_network_penalty,0.19299088668527817,0.1462510791678534
feat_vim1_ram,0.1514931818789252,-0.0120088050550752
feat_mean_remaining_reinst,0.1509056349898448,0.11729762503944109
feat_mean_security_penalty,0.12139046706254068,-0.10369199493876631
feat_total_ues,0.11895501703103732,-0.0023569363701554545
feat_vim0_ram,0.10607380002569934,-0.015587742607161656
feat_min_remaining_mig,0.070397974527389,-0.050490540582700506
feat_vim0_cpu,0.049095982069344526,0.0048971221008136155
feat_max_security_penalty,0.03494837687892631,0.016720125012120748
feat_vim1_cpu,0.02711351502349164,-0.001252168716170809
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_mtd_overhead,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
