shap_feat_mean_mtd_overhead,shap_feat_mean_network_penalty,shap_feat_max_network_penalty,shap_feat_mean_security_penalty,shap_feat_max_security_penalty,ci,cj,action
0.0,0.0006476016666667,0.000423135,0.0010415883333333,-0.000464625,0,1,8
0.0,-0.0010380883333333,-0.0016438616666666,-0.0001303749999999,-0.0037919749999999,0,2,8
0.0,-0.0002123583333333,-0.0005897316666666,-0.0005727649999999,0.0018005549999999,0,3,8
0.0,0.0013000599999999,-0.0001385199999999,-0.0006207633333333,0.0018909233333333,0,4,8
0.0,-0.0013000916666666,0.0011158883333333,0.0007982216666666,-0.0020393183333332,0,5,8
0.0,-0.001779805,0.0017001583333333,-0.0008506883333333,0.000349035,0,6,8
0.0,0.0003667616666666,0.0003223583333333,0.000104645,0.0029279349999999,0,7,8
0.0,-0.0001359416666666,0.0021257783333333,0.0002263349999999,-0.0005684716666666,0,8,8
0.0,-0.000671795,0.001317745,0.0006419316666666,-0.0019571816666666,0,9,8
0.0,0.0011488366666666,0.0003035299999999,0.0005350233333333,-0.0009666899999999,0,10,8
0.0,0.000938155,-0.0004243483333333,-1.3658333333353756e-05,-0.0008384483333332,0,11,8
0.0,-0.0011029716666666,-0.0008235549999999,-0.001702625,-0.0004401483333333,1,2,8
0.0,0.0012780433333333,0.0004269499999999,-0.0002154766666666,5.618333333339692e-05,1,3,8
0.0,0.0008684866666666,0.0010236099999999,0.0002488933333333,-0.0004932899999999,1,4,8
0.0,0.00028262,-0.0003608033333333,0.00075376,0.0005581233333333,1,5,8
0.0,-9.50033333332878e-05,0.00027557,-0.0008939933333333,0.0012531266666666,1,6,8
0.0,-0.0005416116666666,0.006492845,-9.808500000001164e-05,-0.0002464483333333,1,7,8
0.0,0.0015080666666666,-4.883666666663272e-05,0.0007237666666666,-0.0014302966666666,1,8,8
0.0,0.0007522633333333,-8.546999999999288e-05,0.0001950466666666,0.00041186,1,9,8
0.0,0.0013121366666667,0.00170429,0.0006368799999999,-0.0011456066666666,1,10,8
0.0,0.0018074366666666,-0.0003263966666666,0.00075826,-0.0005915999999999,1,11,8
0.0,7.418999999998831e-05,0.0002642833333333,0.0001421866666666,-0.0025279599999999,2,3,8
0.0,-0.0017922833333333,-0.0009617333333333,-0.0010696999999999,-0.0035345833333333,2,4,8
0.0,-0.0011187849999999,-0.0002416949999999,-0.0015642916666666,-0.0020375283333333,2,5,8
0.0,-0.0022978649999999,-0.0003341883333333,-0.0005956616666666,-0.0017615849999999,2,6,8
0.0,4.442500000003758e-05,-0.0005977716666666,-0.0002555216666666,0.0021685683333333,2,7,8
0.0,-0.0034537766666666,-0.0010206966666666,-0.0014446333333332,-0.0037351933333333,2,8,8
0.0,-0.0006697233333333,-0.0008327333333333,-0.0002162966666666,-0.0032745466666666,2,9,8
0.0,-0.0024063516666666,0.0006769016666666,-0.0005904916666666,-0.0025213583333333,2,10,8
0.0,-0.0008079883333333,-0.0026617216666666,-0.0015410183333333,0.0009954283333333,2,11,8
0.0,-0.0006166533333333,-0.0012630633333333,0.0004893566666666,0.00158106,3,4,8
0.0,0.0001516516666666,0.0003737483333333,0.0001384183333333,0.0045898816666667,3,5,8
0.0,0.0002773833333333,0.00177287,0.0009412966666667,-0.00134185,3,6,8
0.0,-0.0004396316666666,-0.0004456983333333,-0.0002318316666666,0.0045568616666666,3,7,8
0.0,0.00158183,-5.785999999998858e-05,0.0006767366666666,-0.0031480066666666,3,8,8
0.0007132619999999,-0.0015675029999999,0.001660162,-3.30346666666528e-05,-0.0012031863333333,3,9,8
0.0,0.00068561,0.00025327,0.0005418166666666,-0.0027989966666666,3,10,8
0.0,0.000501105,-0.0005971016666667,-6.11016666666464e-05,0.0017927983333333,3,11,8
0.0,-0.002248265,0.0008911016666666,-0.0011946583333333,-0.0024304783333333,4,5,8
0.0,0.0012327316666666,-2.5075000000011004e-05,0.000786885,-0.0024258416666666,4,6,8
0.0,0.0009307233333333,0.0004594233333333,0.0001385133333333,0.00246704,4,7,8
0.0,0.0001189816666666,-0.0007443883333333,0.0001717283333333,0.0021093783333333,4,8,8
0.0,-0.0002511783333333,-0.0013017883333333,-0.0006830716666666,0.0001517383333333,4,9,8
0.0,-0.0025511383333333,0.0011841883333333,-0.0017276316666666,-0.0018947183333333,4,10,8
0.0,0.0010311033333333,-0.0002590299999999,0.0004833999999999,-0.0003677733333333,4,11,8
0.0,-0.0007446883333333,-0.0007189183333333,-0.0002725116666666,-0.0032531816666666,5,6,8
0.0,0.0010009849999999,-7.319166666662838e-05,-0.0001376583333333,0.004415565,5,7,8
0.0,-0.0001467166666666,-0.0006191166666666,0.0002158966666666,-0.0030333633333333,5,8,8
0.0,-0.0016436183333332,-0.0012383316666666,-0.000442255,-0.0016190949999999,5,9,8
0.0,0.0003426433333333,0.0001073033333333,0.00071026,0.0035224933333333,5,10,8
0.0,0.000612825,-0.000605705,-0.0020107116666666,-0.0029877083333332,5,11,8
0.0,-0.0001189566666666,4.413000000002849e-05,0.0003211533333333,0.0049403733333333,6,7,8
0.0,-0.0015280899999999,-0.0025925766666666,-0.0014209799999999,-0.0003016533333333,6,8,8
0.0019229839999999,-0.0016421876666666,0.0012124823333333,0.0001322673333333,-0.0015728459999999,6,9,8
0.0,-0.0007854916666666,-0.0009713716666666,5.7951666666663376e-05,-0.0031623883333333,6,10,8
0.0,-0.0003785083333333,-0.0008638283333333,-0.0001579549999999,-0.0035890083333332,6,11,8
0.0,0.000144425,0.0003309016666666,-0.0001024516666666,0.003054825,7,8,8
0.0,5.547333333336141e-05,5.299000000001577e-05,0.0002807333333333,0.0035435033333333,7,9,8
0.0,0.000456905,0.0006247216666666,0.0008388183333333,0.003663255,7,10,8
0.0,0.0006999449999999,-0.0007207149999999,0.0001610583333333,0.0038734116666666,7,11,8
0.0,-0.0007883233333333,-0.0010021699999999,-0.00034175,-0.0028520566666666,8,9,8
0.0,0.000116765,-0.0003936349999999,-0.0020608383333333,-0.0026515916666666,8,10,8
0.0,0.00025069,-0.0004581133333333,-0.0010237466666666,-0.0019751299999999,8,11,8
0.0,-0.0008031999999999,-0.0019322599999999,-0.0016760766666666,-0.0046837633333333,9,10,8
0.0,0.0009463283333333,0.0002485583333333,-7.125833333331e-05,0.0028840716666667,9,11,8
0.0,4.198500000001954e-05,-0.0010647916666666,-0.000150865,-0.0038166283333333,10,11,8
