shap_feat_mean_mtd_overhead,shap_feat_mean_network_penalty,shap_feat_max_network_penalty,shap_feat_mean_security_penalty,shap_feat_max_security_penalty,ci,cj,action
0.0,0.0474169566666666,-0.0450801099999999,0.0312094066666666,-0.0036067533333333,0,1,7
0.0,0.0031181583333333,-0.0025646016666666,0.0285628983333333,0.0083076849999999,0,2,2
0.0,-0.0026630283333333,0.0021981883333333,0.0149996583333333,0.0913922816666667,0,3,1
0.0,0.022803455,-0.0259781449999999,0.0351225616666666,0.0007296283333333,0,4,7
0.0,0.0097543333333333,-0.0022617699999999,0.0535519533333332,0.0458926233333333,0,5,2
0.0,0.0038786466666666,-0.0154364899999999,-0.00766217,0.0074216333333333,0,6,5
0.0,0.015966845,-0.0001362183333333,-0.0065987483333333,0.0145117416666666,0,7,5
0.0,0.0161172116666666,-0.0011495049999999,-0.006476945,0.0152528583333333,0,8,5
0.0,0.0073388166666666,-0.0189901799999999,0.1056367466666666,0.0166067566666666,0,9,2
0.0,-0.0011230066666667,0.0109598899999999,0.0493092366666667,0.12175998,0,10,1
0.0,0.0441622566666666,0.0140015433333333,-0.0633536899999999,0.0174420299999999,0,11,2
0.0,0.0407866449999999,0.0713263616666666,0.1200679749999999,0.0421635183333333,1,2,7
0.0,0.0009548449999999,0.0220861283333332,0.041845055,0.1189210716666667,1,3,1
0.0,0.0048148633333333,0.02975606,0.0730262166666666,0.1319199599999999,1,4,1
0.0,0.0116484366666666,0.0394961233333333,0.0157977733333333,0.0175312866666666,1,5,5
0.0,-0.0229179116666666,0.0112397049999999,0.0706904983333333,0.0052312083333333,1,6,7
0.0,-0.0211386216666667,0.0310931716666666,0.0814034816666667,0.0151254683333333,1,7,7
0.0,0.003663395,0.0206298383333334,0.0273825616666666,0.1748763049999999,1,8,1
0.0,-0.0055938183333333,0.042958415,0.0800720983333332,0.0109438049999999,1,9,7
0.0,0.0534538649999999,0.0432937549999999,0.1085326683333333,0.0373242116666666,1,10,7
0.0,-0.0007575549999999,0.0060061749999999,0.0433908316666666,0.1150256483333333,1,11,1
0.0,0.0044202316666666,0.020916715,0.026657585,0.1745575683333332,2,3,1
0.0,0.0268213116666666,-0.0005852283333333,-0.0581145583333333,0.015646615,2,4,2
0.0,8.519500000003788e-05,-0.0163445183333333,0.0680587849999999,-0.0012259616666666,2,5,7
-0.0339955679999999,-0.0051864446666666,-0.0038258963333333,-0.010149598,0.0105411269999999,2,6,5
0.0,-0.0064886933333333,-0.0264716066666667,0.0672849466666666,0.0032978533333333,2,7,7
0.0,0.0048636466666666,0.0207643666666667,-0.0309974599999999,0.0005635866666666,2,8,2
0.0,0.0050329566666665,0.0541110099999999,0.1102698733333333,0.04842566,2,9,7
0.0,-0.003160015,-0.0237247683333333,0.0680965416666666,-0.0045082583333333,2,10,7
0.0,0.0310260233333332,0.0048366233333333,-0.05304128,0.0338737733333333,2,11,2
0.0,-0.0065441883333333,0.0067490416666667,0.0381418116666666,0.113414435,3,4,1
0.0,0.0002852483333333,0.0166252883333333,0.0313763549999999,0.1089522083333333,3,5,1
0.0,0.0025386349999999,0.0137196349999999,0.0530319016666666,0.1213899283333334,3,6,1
0.0,-0.0057285499999999,0.0086925333333333,0.0276978399999999,0.1034282766666666,3,7,1
0.0,0.0024527416666666,0.0108192716666666,0.0461237783333333,0.1187483083333333,3,8,1
0.0,0.0018307383333333,0.019778245,0.0485856416666666,0.1204854750000001,3,9,1
0.0,0.00017387,0.0052468666666666,0.0546552833333333,0.08680208,3,10,1
0.0,0.0033840766666666,0.0210986766666666,0.04838795,0.1193923966666667,3,11,1
0.0,0.020426995,0.0252068216666666,0.0246329983333333,0.019226345,4,5,4
0.0,0.0014618483333332,-0.010222755,0.071068455,0.0097609516666667,4,6,7
0.0,0.025629775,0.040264405,-0.012377915,0.010986875,4,7,2
0.0,0.0157095549999999,-0.005323105,0.0933861283333333,0.0236615616666667,4,8,2
0.0,0.07017411,0.0481051866666666,0.11206199,0.0440032133333333,4,9,7
0.0,0.0621092066666666,0.0377261333333332,0.1037110266666666,0.0390581333333334,4,10,7
0.0,0.02331832,0.0500408799999999,0.0307605566666666,0.0372238633333333,4,11,5
0.0,-0.0015970166666666,0.0167072366666666,0.0153754633333333,0.1496284166666666,5,6,1
0.0,0.0117758133333333,-0.0074943833333333,0.0612529833333333,0.0213187266666667,5,7,2
0.0,0.0021658749999999,-0.0011581349999999,0.0335922916666666,0.0159571083333333,5,8,2
0.0,0.0226478833333332,0.0366559933333333,-0.0091862399999999,0.0133055033333333,5,9,2
0.0,-0.001830395,0.0193697283333332,0.0670567783333334,0.2486779883333334,5,10,1
0.0,0.0072508483333333,-0.0038778683333333,0.0082687416666666,0.0044804183333333,5,11,2
0.0,-0.0372720733333333,0.0162260233333333,0.0645731666666666,-0.0025916166666666,6,7,7
0.0,0.0067901849999999,0.0245074916666667,0.0832687249999999,0.0105000983333333,6,8,7
0.0,0.0006859683333334,0.0172662983333332,0.0414210716666667,0.1945127616666666,6,9,1
0.0,0.0441622566666666,0.0140015433333333,-0.0633536899999999,0.0174420299999999,6,10,2
0.0,-0.0060387466666667,0.0457170566666666,0.0862937733333333,-0.0023885833333333,6,11,7
0.0,0.0240394099999999,0.0534672133333333,0.0166766366666667,0.01792388,7,8,2
0.0,-0.0087688733333333,0.0737873566666666,-0.0192889199999999,0.0072135766666666,7,9,2
0.0,0.0001784466666666,-0.0343769299999999,0.0397569333333333,0.00596169,7,10,2
0.0,-0.0216893783333333,0.0459374516666666,0.0847533183333333,0.0196551083333333,7,11,7
0.0,-0.0034195433333333,0.0088943933333332,0.0507175566666667,0.1229266933333333,8,9,1
0.0,0.0441622566666666,0.0140015433333333,-0.0633536899999999,0.0174420299999999,8,10,2
0.0,0.0216981616666666,-0.0038015183333333,0.1211475683333333,0.0333509283333333,8,11,2
0.0,0.062469855,0.0456804516666666,0.1136833249999999,0.0171468683333333,9,10,7
0.0,-0.0013659616666667,-0.0118964949999999,0.0213996049999999,0.0145929916666666,9,11,2
0.0,0.0634323266666666,-0.0456957399999998,0.0302756866666666,0.0029372266666666,10,11,7
