shap_feat_mean_mtd_overhead,shap_feat_mean_network_penalty,shap_feat_max_network_penalty,shap_feat_mean_security_penalty,shap_feat_max_security_penalty,ci,cj,action
0.0,0.0001846038251365,0.0003652595628415,0.0033168579234972,-0.0013812295081967,0,1,7
0.0,-1.972131147541436e-05,0.0008014125683059,0.0031150218579235,-0.0014092213114753,0,2,7
0.0,0.0027802964480874,-0.0006779275956284,0.0004866516393442,8.047131147543131e-05,0,3,7
0.0,0.0007880532786884,-0.010768681693989,-0.0010749521857923,-0.0040844521857923,0,4,8
0.0,0.0001232267759562,0.0033992677595628,-0.0033373114754098,-0.0031737896174863,0,5,2
0.0,0.0033540860655737,0.0059994412568305,0.0001807418032786,0.0032021243169398,0,6,2
0.0,0.0005765095628415,0.0006396352459016,0.0006204685792349,0.0095638292349726,0,7,9
0.0,0.0001232267759562,0.0033992677595628,-0.0033373114754098,-0.0031737896174863,0,8,2
0.0,0.0047899057377049,0.0036535177595628,-0.0005207445355191,0.0043307144808743,0,9,2
0.0,-1.972131147541436e-05,0.0008014125683059,0.0031150218579235,-0.0014092213114753,0,10,7
0.0,0.000168793715847,0.0013922390710382,0.0012282663934426,0.0095996680327869,0,11,8
0.0,0.0033540860655737,0.0059994412568305,0.0001807418032786,0.0032021243169398,1,2,2
0.0,5.072950819671237e-05,0.0001288114754098,-0.004383,0.0012148524590164,1,3,2
0.0,0.0001232267759562,0.0033992677595628,-0.0033373114754098,-0.0031737896174863,1,4,2
0.0,-2.1814207650276173e-05,-7.021857923501188e-06,-0.0041180573770491,0.0011582868852459,1,5,2
0.0,-0.0032464986338798,0.0013999521857923,-0.0040204822404371,-0.0092790040983606,1,6,8
0.0,5.072950819671237e-05,0.0001288114754098,-0.004383,0.0012148524590164,1,7,2
0.0,0.0021618196721311,0.0031265136612021,-0.0007918825136612,0.0069169918032786,1,8,9
0.0,0.0001328907103825,0.0001920901639344,-0.0043620109289617,0.0010484234972677,1,9,2
0.0,0.0033651953551912,0.0016812472677595,-0.0012776161202185,-0.0046566133879781,1,10,5
0.0,0.0024073661202185,-0.0006187950819672,0.0005485519125683,0.000196368852459,1,11,7
