feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty
36.27098267407545,5.867129626572307,6.958457421192923,20.54450883495582,121.90998000288319
42.30417713384599,12.525090574823224,17.968145286923203,47.186658012238304,67.59912256161458
52.51584810995472,11.052755714444658,14.81158966458775,45.454972010909934,64.70727184396232
47.92812517608421,6.38673386393512,22.63986200460797,46.21722365806576,66.03968209429131
38.61545345771314,13.03908975934587,17.557187148690815,52.318528084992465,60.21237420561708
24.032723417427064,41.36908358674286,40.74080310536345,37.208559505533586,37.98028445242526
22.461923540861022,40.44107879698523,39.61813130365561,42.22617587874089,40.145835831429125
61.1880205853099,29.265739263569817,28.973397342025038,35.24956619480048,31.79775127729474
16.786141197352862,40.74996725794216,40.1813011899603,43.07653768356173,43.205353418362634
16.391420414106705,42.85018720385298,42.25744133941465,44.06444543652934,41.8169556452682
13.517338418520012,43.00401321526485,42.743218444698,43.55457270524056,43.66360217732343
20.170532070437247,40.37898922709559,39.971004175227804,43.827414649966954,42.89923964027242
19.93558719425448,40.14033903372952,39.75610619407362,43.73479162106754,42.73026723139828
17.789420440828366,41.05954719863144,40.48136390609782,43.43910013916496,43.41659086421492
47.924053025166906,17.169087182641523,7.475356429355088,56.19880222033664,54.93363152835141
56.165092483716755,-8.759848396306609,33.013639719431154,52.95881006568885,50.17170147914171
29.68398752649864,26.412561092845653,11.958412006934196,59.83935238355013,57.31148492973388
61.69820922077888,14.551512766967258,5.289230586277455,53.11107961786208,50.153025269161205
21.04211088703985,18.926258459792336,19.33231576183357,63.28446737857102,61.58176605779446
21.77665781016297,3.074178648209255,44.346691385458975,58.2027008882074,58.94028905615673
56.3727701571096,-7.204767706991845,34.74633573794926,51.6222105659957,50.50211966889823
0.0,24.85967353154365,52.01567946351723,62.140694696948955,58.942115359857375
0.0,50.56656189270283,53.32933515696947,44.911494650328734,45.074050160459905
0.0,49.83245603546147,52.452334148061475,42.76097800994103,44.42910323242664
0.0,47.493462527477284,48.625825444816584,54.04411481985261,39.14539197358789
0.0,42.38532730590424,50.23723268262378,47.37965623745253,44.03533830537884
0.0,45.14897139690993,51.04079988217662,48.87924758185699,45.52316213525957
0.0,25.650723496441913,45.33161479965203,57.204340519892206,60.249282697795095
0.0,30.218438545463442,48.64170422362992,59.73004610380597,63.212075131116286
