shap_feat_max_apt_score,shap_feat_mean_apt_score,shap_feat_max_dataleak_score,shap_feat_mean_dataleak_score,shap_feat_max_dos_score,shap_feat_mean_dos_score,shap_feat_vim0_cpu,shap_feat_vim0_ram,shap_feat_vim1_cpu,shap_feat_vim1_ram,shap_feat_mean_remaining_mig,shap_feat_mean_remaining_reinst,shap_feat_total_ues,ci,cj,action
0.0,0.0,0.0,0.0,0.0,0.0,0.0003510454332552,-0.000290612490242,4.219024199843442e-05,-0.0003694310694769,-0.0020157821623731,-0.0011792185011709,0.0056297921545667,0,1,10
0.0,0.0,0.0,0.0,0.0,0.0,-4.252419984385712e-05,-0.0006284769320843,-0.0001591520686963,-0.0004867430523028,-0.0008371916861826,-0.0017917761124121,-0.0044696933255269,0,2,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0010897231069476,-0.00037491323185,-0.0011061145979703,-0.0016380214285714,-0.0028522533957845,0.0005046023419203,0.0009334198282591,0,3,9
0.0,0.0,0.0,0.0,0.0,0.0,-0.0001108040593286,-4.467892271661951e-05,0.0001563544106167,-0.000177419359875,-0.0023460141686182,-0.001305818813427,0.0054291841920374,0,4,11
0.0,0.0,0.0,0.0,0.0,0.0,-3.827560499608702e-05,-0.0002293578454332,-0.0001214914519906,-0.0002798736924277,-0.0053037059328649,-0.0044255275175643,-0.0012140302498048,0,5,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0005084317720531,-0.0004428804059328,-0.0004005443403591,-0.0002791200234192,0.0033896037470726,0.0033909277907884,0.0054341827088212,0,6,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0002517298985167,0.00018825039032,-4.438103044496211e-05,-7.64184621389655e-05,0.0005411012099921,0.0009872424668227,0.0037409673302107,0,7,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002462739526411,0.0002305162112932,-0.0002717310564663,0.0017967320582877,0.0010303520036429,0.0082207981785064,0,8,2
0.0,0.0,0.0,0.0,0.0,0.0,-9.332088212334055e-05,-0.0048885457455113,0.0004476414129586,-0.0004375544886807,-0.001040881811085,-0.0003638924668227,-0.0057364624121779,0,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0001744980874316,0.0,-7.321311475409851e-05,-0.0006459860655737,0.0026310193989071,0.0036136863387978,-0.0048240210382513,0,10,10
0.0,0.0,0.0,0.0,0.0,0.0,-0.0003922793130367,-0.0004435140124902,0.0003184597580015,-0.0004900831381732,-0.0041353457064793,-0.0033736932474629,-0.0013149705698672,0,11,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0007002560109289,-5.075218579236006e-05,0.0003338912568305,0.0002564745901639,-0.0036675560109289,-0.001605037431694,0.0006601663934426,1,2,9
0.0,0.0,0.0,0.0,0.0,0.0,3.640234192038051e-05,-0.0002503301717408,0.000105581850117,4.812857142857564e-05,0.0019914987900078,0.002235069281811,0.0054026165495706,1,3,8
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009614948477751,-0.0001484027712724,-0.0009203866510538,0.000349518813427,-0.0035611421155347,-0.0019822992193599,0.0038266494145199,1,4,9
0.0,0.0,0.0,0.0,0.0,0.0,-0.0026617301717408,-0.000578681264637,-0.002475537822014,-0.0009330266198282,0.0012702261124121,0.0022651313036689,-0.0002429389149102,1,5,9
0.0,0.0,0.0,0.0,0.0,0.0,-3.560304449647632e-05,-6.971451990631343e-05,0.0001679537861045,-0.0003502473067915,-0.0004985527712724,-0.0002607158860265,0.0060211092505854,1,6,4
0.0,0.0,0.0,0.0,0.0,0.0,-0.0002970495316159,-8.943969555032569e-05,6.215839188131785e-05,-2.3620569867266315e-05,-0.0002353697501951,-0.0008797028103044,-0.0039312383294301,1,7,1
0.0,0.0,0.0,0.0,0.0,0.0,-0.0008941909445745,-0.0005131403981264,-0.0024891808352849,0.0001861382903981,0.0009671749024199,0.0003600516783762,-0.0015008854800936,1,8,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002180170309653,-0.0002381118397085,-3.957577413479492e-05,-0.0029224940801457,-0.001617408834244,0.0012720010018214,1,9,2
0.0,0.0,0.0,0.0,0.0,0.0,-0.0006683433255269,0.0005894957455113,-0.0004954851288056,0.0006496184231069,0.0017689506635441,0.0012516323575331,0.0077715247072599,1,10,2
0.0,0.0,0.0,0.0,0.0,0.0,-0.0001138490241998,-0.0002017446526151,-0.0003781678766588,-0.0014169837236533,0.002592056440281,0.003882537861046,-0.0042199965651834,1,11,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.001646531811085,-0.0011115697892271,-0.0020862960187353,0.000886200429352,-0.0047471301717408,-0.0058449135050741,-0.0023975460187353,2,3,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0004207330601092,0.0001358122950819,0.0003404786885246,0.0004144046448087,0.0003576174863388,-0.0007608704918032,-0.0031412084699453,2,4,8
