shap_feat_max_apt_score,shap_feat_mean_apt_score,shap_feat_max_dataleak_score,shap_feat_mean_dataleak_score,shap_feat_max_dos_score,shap_feat_mean_dos_score,shap_feat_vim0_cpu,shap_feat_vim0_ram,shap_feat_vim1_cpu,shap_feat_vim1_ram,shap_feat_mean_remaining_mig,shap_feat_mean_remaining_reinst,shap_feat_total_ues,ci,cj,action
0.0,0.0,0.0,0.0,0.0,0.0,-1.3811130729742724,1.4143052191557146,-1.4951686044576065,2.0923628295923646,-8.443426000554291,2.1859038727990447,-10.118875883760946,0,1,6
0.0,0.0,0.0,0.0,0.0,0.0,-0.8449888452642972,0.260281585319035,-3.435835211757621,0.2814171167290329,12.4272938260324,11.442045863669057,12.694449363672373,0,2,4
0.0,0.0,0.0,0.0,0.0,0.0,3.194670055580949,5.490805621827638,-0.623154754795733,-1.484698596695709,-4.030985247492388,5.9214656827076295,1.145508044667637,0,3,7
0.0,0.0,0.0,0.0,0.0,0.0,-1.191489446055229,-3.680331087218601,6.0364335011014525,9.495677892248098,10.024906896668078,9.943159091374772,13.18450501168143,0,4,10
0.0,0.0,0.0,0.0,0.0,0.0,-1.0887507554047602,2.0257951664585683,2.61891421137523,9.951429334591896,4.3086067272852375,11.4018748601519,6.831207293541913,0,5,5
0.0,0.0,0.0,0.0,0.0,0.0,-0.6889007004866698,-4.026967087476651,-1.318166365196649,-2.468649530153328,17.82213289843668,7.665611167506664,16.08859962716996,0,6,6
0.0,0.0,0.0,0.0,0.0,0.0,-1.2558871217223837,0.6648408059909556,-5.015821051369034,-6.622003318659021,-7.9814378464623905,5.751156010997616,-2.3924904931757487,0,7,3
0.0,0.0,0.0,0.0,0.0,0.0,-0.3022723052523872,-2.4327374290857,0.9905780782243002,4.355407789974287,12.250769026230966,10.859948187387594,16.576035157520973,0,8,8
0.0,0.0,0.0,0.0,0.0,0.0,-0.0164375008275996,-0.9751491366009524,0.7578947438524005,2.8036795834457084,-9.43993007850094,-4.482543193194314,-10.142927702374289,0,9,7
0.0,0.0,0.0,0.0,0.0,0.0,0.6209228022776134,-1.6983889707023867,1.363992924117624,5.042509745700955,-7.733964348819043,5.628995142577623,-0.9428997293523677,0,10,7
0.0,0.0,0.0,0.0,0.0,0.0,2.203888349729993,3.4816993489299857,-1.491648888286676,-2.289438977273335,7.167585021806669,13.314531763543338,8.73621049055001,0,11,9
