feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues
0.0,0.0,0.0,0.0,0.0,0.0,-0.00013249925839190353,0.00041843407494144663,-0.0001084039032006223,3.322915690866582e-05,-0.007252155542544874,-0.005700187782982022,-0.002660449531615926
0.0,0.0,0.0,0.0,0.0,0.0,8.683313817331013e-05,-0.00028669664324744567,8.286128024981125e-05,-6.736686182670125e-05,-0.007720284074941449,-0.005768452654176426,-0.0017009269711163312
0.0,0.0,0.0,0.0,0.0,0.0,9.179988290399302e-05,-0.00023762716627632763,0.00011176217798594519,-5.1680171740828955e-05,-0.007689253942232626,-0.0057083976580796225,-0.0018906359094457662
0.0,0.0,0.0,0.0,0.0,0.0,-0.0001965651639344243,-0.00031736543715846525,0.0,-0.00029884030054646074,-0.007382130464480861,-0.005198556420765001,-0.0018265750000000193
0.0,0.0,0.0,0.0,0.0,0.0,-2.297923497266048e-05,-0.0002952142076502687,-7.179098360655325e-05,-0.00024314234972678498,-0.0076119234972677596,-0.00554799016393441,-0.0014269923497267952
0.0,0.0,0.0,0.0,0.0,0.0,-2.297923497266048e-05,-0.0002952142076502687,-7.179098360655325e-05,-0.00024314234972678498,-0.0076119234972677596,-0.00554799016393441,-0.0014269923497267952
0.0,0.0,0.0,0.0,0.0,0.0,-2.1455737704900724e-05,-0.00029759644808742607,-7.09836065573744e-05,-0.0002459327868852543,-0.0076180038251366135,-0.00554358497267758,-0.0014224754098360842
0.0,0.0,0.0,0.0,0.0,0.0,-3.22312256049867e-05,-0.0003239194769711051,-0.00012679461358313922,-0.0002928689305230349,-0.007613223028883679,-0.005326038329430117,-0.0015049571818891697
0.0,0.0,0.0,0.0,0.0,0.0,0.00019061358313819204,-0.0005833304059328542,9.474418423108082e-05,-0.000792354176424671,-0.00838768778298206,-0.00555055117096019,-0.0004004670179547284
0.0,0.0,0.0,0.0,0.0,0.0,3.7075995316181165e-05,-0.00032653302107726775,8.218992974239614e-05,-0.0006887712724434139,-0.00822788110850899,-0.005704700780640118,-0.0006004125292740197
0.0,0.0,0.0,0.0,0.0,0.0,-7.931818891489844e-05,-0.00034933594847774864,-6.449797033567309e-05,-0.000267496057767383,-0.007437492779078838,-0.00521944059328647,-0.0018024512490242214
0.0,0.0,0.0,0.0,0.0,0.0,-0.00013353548009368757,-0.0003477215456674415,-1.492045277126132e-05,-0.00041892892271663216,-0.007227916081186564,-0.005065501873536275,-0.0020115084309133696
0.0,0.0,0.0,0.0,0.0,0.0,-6.560581576893441e-05,-0.000298658821233395,-5.985882123341231e-05,-0.0003317760343481781,-0.0069591894223262896,-0.005227565105386396,-0.0022773787665886264
0.0,0.0,0.0,0.0,0.0,0.0,-4.108899297424553e-05,-0.00031098735362996335,-3.842205308353039e-05,-0.0003688859875097695,-0.007147142818110831,-0.005225956479313014,-0.002087549102263879
0.0,0.0,0.0,0.0,0.0,0.0,-5.911647150664677e-05,-0.0003404459797033315,0.000198442544886792,-7.864570647931548e-05,-0.007337862919594058,-0.005529600897736125,-0.0022548033567525508
0.0,0.0,0.0,0.0,0.0,0.0,-0.0001389930523028993,-0.0003404146370023359,-6.233458235752401e-05,-0.0004149843091334935,-0.0069880990632318445,-0.005034733216237289,-0.0022404739266198483
