feature,mean_abs_shap,mean_shap
feat_security_penalty_cumul,1.680879659817196,1.0314333291235074
feat_mean_security_penalty,1.3561263700145436,-0.6437911500334889
feat_mean_remaining_mig,0.5292688266718992,-0.3595931303586243
feat_mean_remaining_reinst,0.36324764278866467,-0.021943265932858846
feat_mean_network_penalty,0.21737346707667024,0.0008151855159475917
feat_vim1_ram,0.20252844508784593,-0.0003120431714196111
feat_max_network_penalty,0.14751491173659706,0.03177659269336259
feat_vim0_ram,0.13267929884637544,-0.021084885605120236
feat_total_ues,0.12007734442552749,-0.04287803513389194
feat_max_security_penalty,0.11866769134059516,0.051342629836976905
feat_vim0_cpu,0.05453652306577338,-0.010291020029736747
feat_vim1_cpu,0.04852205655713822,0.005852588570059086
feat_min_remaining_mig,0.02713129150391208,-0.020841780143986282
feat_mean_mtd_overhead,0.0015126933677146136,-0.00048501533072918513
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
