feature,mean_abs_shap,mean_shap
feat_security_penalty_cumul,1.686187654926566,-1.3185942822215306
feat_mean_remaining_mig,1.529851714162292,1.4322525733930915
feat_mean_security_penalty,1.0322923445692478,-0.41667737656825493
feat_max_security_penalty,0.7008498762168163,0.29548565512958913
feat_mean_remaining_reinst,0.5353485292877069,-0.4716726798692164
feat_vim1_cpu,0.354194503902987,0.33283801576083266
feat_total_ues,0.26295254630754206,0.15345412623882188
feat_mean_network_penalty,0.2530211247696343,-0.051400503993299575
feat_max_network_penalty,0.2297233440977976,0.04882417225625592
feat_vim1_ram,0.14651684421254796,0.007417942277477168
feat_vim0_ram,0.0642813492212263,0.0003820130171132045
feat_min_remaining_mig,0.030579223028236572,-0.004504907542873113
feat_vim0_cpu,0.023301777387203355,-0.007875306887263294
feat_mean_mtd_overhead,0.00012563135013018007,7.055900925704259e-05
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
