feature,mean_abs_shap,mean_shap
feat_vim0_ram,0.6520945201528899,-0.07356176056227685
feat_max_network_penalty,0.5545965965439201,-0.18316043930966883
feat_mean_remaining_mig,0.545247714775104,0.12937381424107172
feat_mean_network_penalty,0.522593375391741,0.18094919747176816
feat_mean_remaining_reinst,0.46527955356352,-0.06232183578057733
feat_mean_security_penalty,0.4035083536163124,0.07294223412316007
feat_vim1_ram,0.333470606631341,-0.0403315590879592
feat_max_security_penalty,0.3204777462466082,0.06513320854716319
feat_total_ues,0.21656033309115677,-0.06240129455336192
feat_vim0_cpu,0.21549068906072194,0.015438859089146882
feat_min_remaining_mig,0.18327516704612484,-0.10875364122003803
feat_vim1_cpu,0.09724811105393961,0.06668270396778642
feat_mean_mtd_overhead,0.0012447385526540965,1.0513073785744898e-05
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
