feature,mean_abs_shap,mean_shap
feat_mean_security_penalty,1.5616932988841514,-1.0119490342617845
feat_mean_remaining_mig,0.9729518363654325,0.3237497830277629
feat_mean_remaining_reinst,0.6561509490430044,0.5840718166425447
feat_mean_network_penalty,0.4536227535473943,-0.12827629088119755
feat_max_network_penalty,0.3677010710225861,0.2557248501285093
feat_vim0_ram,0.22719673941363908,-0.08081868593280848
feat_vim1_ram,0.18118685817851102,0.027360920030235315
feat_min_remaining_mig,0.17427276382457943,-0.029569785907684224
feat_max_security_penalty,0.1346524448215071,0.010529014480646004
feat_vim1_cpu,0.09886121016028702,0.043731824709521604
feat_total_ues,0.08252842905425649,0.0019451160211245327
feat_vim0_cpu,0.05771756411765784,0.003356646666328092
feat_mean_mtd_overhead,0.0007140178926280163,0.00014382527679983646
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
