feature,mean_abs_shap,mean_shap
feat_mean_remaining_reinst,4.3608240198297334,4.138249003850035
feat_mean_security_penalty,4.183273474554458,-3.8142608956390083
feat_vim0_ram,0.9178341267791189,0.05713791255501119
feat_min_remaining_mig,0.8174624058071966,-0.3488171861299829
feat_max_network_penalty,0.796449874403795,-0.29458805070855515
feat_vim1_ram,0.755985872959967,-0.046357721723884276
feat_mean_remaining_mig,0.5754739684442884,0.34380660989702927
feat_mean_network_penalty,0.2625359659698324,0.06001351702440211
feat_max_security_penalty,0.2609288320460752,-0.08783652760395759
feat_total_ues,0.11876004798433445,0.023369433105377313
feat_vim0_cpu,0.07130055861785223,0.005070521981561153
feat_vim1_cpu,0.0711478876493898,-0.03564133581782971
feat_mean_mtd_overhead,0.0005133487578353765,-0.0001452807902005171
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
