feature,mean_abs_shap,mean_shap
feat_mean_remaining_reinst,0.7754140497904015,-0.6220158961576889
feat_security_penalty_cumul,0.7718603143200666,0.4385954384788265
feat_mean_remaining_mig,0.6832443565067077,0.6556528494278202
feat_mean_security_penalty,0.5662345635629847,-0.5437699363594248
feat_mean_network_penalty,0.32925625991502294,0.015361032686874066
feat_max_network_penalty,0.29582281382093645,-0.03895527108051409
feat_max_security_penalty,0.20836545822343014,0.062076695315853046
feat_vim1_ram,0.16156246285035064,0.04382488138809409
feat_total_ues,0.15226680693632572,0.0408808161209382
feat_vim0_cpu,0.13134802229239154,-0.008490853671212158
feat_vim1_cpu,0.08047825324718665,-0.04955713611989957
feat_vim0_ram,0.056280088573586795,0.017372901552072013
feat_min_remaining_mig,0.011892636792503705,-0.010977236559004375
feat_mean_mtd_overhead,0.0001750756975934303,1.7149772659124204e-06
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
