feature,mean_abs_shap,mean_shap
feat_mean_remaining_mig,0.9020168876427371,0.7751766938615917
feat_security_penalty_cumul,0.6680598549915164,-0.48047111385357777
feat_mean_security_penalty,0.49184306934481903,-0.3305597601297285
feat_mean_remaining_reinst,0.3345835812351636,-0.03946767064422611
feat_steps_since_last_mtd,0.33090247373174264,-0.035613682645449486
feat_max_network_penalty,0.3185997072699119,-0.1419889434245194
feat_mean_network_penalty,0.30774287495976527,0.20249388915777247
feat_vim0_ram,0.24686748052236063,-0.10605657694078743
feat_vim1_ram,0.2373104747806718,0.017033698791642325
feat_max_security_penalty,0.1657408159733962,-0.006486241427121303
feat_total_ues,0.15301853199536053,0.02086727958438049
feat_vim0_cpu,0.13601726201497144,0.12060925330062178
feat_vim1_cpu,0.05012778021364106,0.0041158895043139215
feat_min_remaining_mig,0.004507256603440084,0.0003625191995465424
feat_mean_mtd_overhead,7.063145475180957e-05,-1.5234334464277228e-05
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
