feature,mean_abs_shap,mean_shap
feat_mean_security_penalty,0.9452097973412379,0.0991109356406103
feat_steps_since_last_mtd,0.6783742268038357,-0.03710957764869869
feat_security_penalty_cumul,0.31696207588385744,-0.14435548595687853
feat_vim0_ram,0.18051197627061277,-0.008468444720118488
feat_vim1_ram,0.15698569133558757,-0.014783837392873013
feat_mean_remaining_reinst,0.15218669564692958,0.021352015571651065
feat_mean_network_penalty,0.14197825688931928,0.04978935094070288
feat_max_network_penalty,0.11662166383034751,-0.025028851807790818
feat_mean_remaining_mig,0.1154968722690713,0.10611301607744376
feat_max_security_penalty,0.10021139785655095,-0.06641817873118956
feat_total_ues,0.0885808897146491,0.032948183941334995
feat_vim0_cpu,0.05019190188730295,-0.00045917036058472664
feat_vim1_cpu,0.03343195379224268,0.006097043881504859
feat_min_remaining_mig,0.020922909271339583,-0.01879169205821557
feat_mean_mtd_overhead,9.667636075900338e-06,4.69262310027056e-06
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
