feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues
0.0,0.0,0.0,0.0,0.0,0.0,-0.0017193130952380992,-0.0006791677619047507,-0.0007700717619047639,-0.0014967094285714307,-0.0018834910952380982,-0.005353163095238098,-0.0011911237619047596
0.0,0.0,0.0,0.0,0.0,0.0,-0.013587992619047643,0.0019832007142857127,-0.008713216952380953,-0.0020787596190475956,0.010393141047619054,0.009764848380952382,0.004281579047619047
0.0,0.0,0.0,0.0,0.0,0.0,-0.0018388611904761926,-0.0009406265238095131,-0.0006007058571428619,-0.0012778698571428602,-0.002049009857142857,-0.005535763857142859,-0.0008502028571428561
0.0,0.0,0.0,0.0,0.0,0.0,-0.0074800291904761895,-0.0034954008571428477,-0.005662204523809515,-0.003984691190476198,-0.012448383857142862,-0.012334707190476189,-6.123190476187146e-06
0.0,0.0,0.0,0.0,0.0,0.0,-0.0022591398571428513,-0.002455038190476184,0.001967414476190487,-0.0027360958571428498,-0.008772186857142875,-0.01162887785714286,-0.0044969758571428535
0.0,0.0,0.0,0.0,0.0,0.0,-0.0014289955714285553,0.0050816677619047596,-0.003701712904761908,-0.0029622415714285716,-0.009085755238095234,-0.007230703571428574,-0.0019412389047619148
0.0,0.0,0.0,0.0,0.0,0.0,-0.0008276609047618844,-0.004555957904761879,0.0037914287619047506,0.006029646428571441,-0.07423681423809525,-0.026214069238095234,-0.025061432904761934
0.0,0.0,0.0,0.0,0.0,0.0,0.0016007661428571428,0.005977106809523806,0.0033034101428571377,-0.0018050441904761735,-0.010628110190476174,-0.010472003190476191,0.0034838944761904564
0.0,0.0,0.0,0.0,0.0,0.0,0.00021587576190475874,0.0008197374285714265,-2.6059238095236387e-05,0.0005409617619047567,-0.010485123238095232,-0.01299213157142858,-0.003931160904761881
0.0,0.0,0.0,0.0,0.0,0.0,-0.00034437185714286493,-0.0013883701904761846,-0.002502248523809526,-0.003462104523809531,0.015322243809523805,0.008635344142857134,-0.0050936128571428575
0.0,0.0,0.0,0.0,0.0,0.0,0.004919085333333324,0.0004405870000000478,0.00652294233333331,-0.002053920000000012,-0.08118394499999998,-0.018679384999999975,-0.0024022246666667016
0.0,0.0,0.0,0.0,0.0,0.0,0.000268160571428578,0.0013748102380952362,0.0011766019047619002,0.0009331855714285741,-0.011392966095238093,-0.01318826176190475,-0.0008110704285714276
0.0,0.0,0.0,0.0,0.0,0.0,0.0002985731428571377,7.906480952380932e-05,-0.00011857252380951875,0.001124123476190477,-0.010109116523809525,-0.01486713119047618,0.0005135188095238158
0.0,0.0,0.0,0.0,0.0,0.0,-0.0019647479047619053,-0.0005696592380952249,-0.00031269190476190464,-0.002251573904761897,-0.00931049057142858,-0.01118769923809524,-0.004784037238095234
0.0,0.0,0.0,0.0,0.0,0.0,-0.0016407680476190484,-0.000619983380952369,-0.00032002904761905225,-0.0015872187142857192,-0.002046147714285715,-0.005468414047619049,-0.0014104790476190464
