feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues
0.0,0.0,0.0,0.0,0.0,0.0,0.0009640324285714169,0.00012969842857140555,-0.0002877529047619048,0.000585751428571425,0.0017139377619047593,0.0021905584285714266,0.0017494544285714146
0.0,0.0,0.0,0.0,0.0,0.0,0.000574055619047634,0.0005686082857142965,0.0004905479523809744,-0.000544741047619029,0.0019293536190476003,0.0014420509523809537,0.0011527846190476036
0.0,0.0,0.0,0.0,0.0,0.0,0.0005948716190476172,-0.0001925707142857191,6.941995238094756e-05,-3.195304761903148e-05,0.007430746952380951,0.007125219619047617,0.004606285619047619
0.0,0.0,0.0,0.0,0.0,0.0,-9.776777777778696e-05,0.0,-0.0004011047777777888,-0.0010649587777777601,-0.0022634847777777524,-0.0023160954444444316,-0.001622548444444455
0.0,0.0,0.0,0.0,0.0,0.0,0.0005749390952381113,0.0006153760952381035,0.0004225620952381186,-0.0004955809047618867,0.0020150554285714092,0.0015364734285714294,0.000943834761904748
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007668919523809431,-0.0002590326190476267,-0.0003320152857142851,-0.0004608849523809565,-0.0013163979523809542,-0.0015293056190476256,-0.0009746116190476242
0.0,0.0,0.0,0.0,0.0,0.0,-0.001080591523809512,-0.00010113352380951125,0.00017814014285715603,-0.00021788819047618667,-0.0011524608571428531,-0.0013379118571428446,-0.001270454190476188
0.0,0.0,0.0,0.0,0.0,0.0,-0.00022933333333333486,-0.0005231369999999877,-0.0009833563333333198,-0.0007106553333333206,0.0077307423333333215,0.006787422999999985,0.0051333366666666555
0.0,0.0,0.0,0.0,0.0,0.0,-0.00022818390476190414,-0.0005219945714285581,-0.0009822115714285583,-0.0007095129047618934,0.00772387142857142,0.006788572428571413,0.005134479095238083
0.0,0.0,0.0,0.0,0.0,0.0,-0.0003872602857142758,0.00026143438095237534,0.00017260838095237412,0.0009570217142857271,-0.00025495261904760714,-0.0005285019523809339,-0.0006616496190476099
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009945886111110977,-0.0003396756111111194,0.0,-0.0004030779444444497,-0.0012822746111111134,-0.001432881944444451,-0.001186641277777783
0.0,0.0,0.0,0.0,0.0,0.0,-0.001068369476190426,0.0011831635238095115,0.0002774255238095116,-2.1008476190484057e-05,-0.0010745034761904665,-0.0012862588095238026,-0.00021740880952382427
0.0,0.0,0.0,0.0,0.0,0.0,-0.0012311704285714107,0.00024554723809524804,-0.00020285676190474476,-0.0007950100952380751,0.0012862315714285545,0.0009564675714285718,0.0007264509047618836
