feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty
-0.00012230655737703757,3.5201639344267094e-05,-0.00018547868852459266,-0.007204077049180303,-0.007763372131147571
-0.0006118005464481202,0.00010044808743171069,-0.0009312595628415286,-0.0032260724043716,-0.0105853483606557
-0.000361792896174896,9.914426229509082e-05,-0.0009102368852459007,-0.003617766939890724,-0.010442380327868801
-0.0002915729508196351,-3.4827868852574384e-06,-0.003992613934426232,-0.003042243715847038,-0.00840411939890707
-2.065027322393359e-06,-0.002008009016393437,-0.005683289071038239,-0.001228376502732275,-0.006549293169398889
-3.120765027304212e-06,-0.0020226275956284063,-0.0057452546448087324,-0.001171109836065603,-0.00653691994535518
-8.361311475410353e-05,-0.0020738836065573767,-0.005697361748633866,-0.0011792661202185918,-0.006571908196721293
9.29453551913248e-06,-0.001994478688524604,-0.0057260524590163914,-0.001164398087431697,-0.00651939808743168
1.26565573770384e-05,-0.0019388693989071,-0.005581740983606536,-0.0011841549180327995,-0.006551924043715832
2.1444808743163388e-05,-0.0018113762295082017,-0.005600600273224031,-0.0012653338797814291,-0.00652816721311474
-5.468306010933399e-06,0.0005761040983606581,-0.00343485355191255,-0.0036873986338797973,-0.008632416393442616
2.8632240437176035e-05,0.00016206803278686602,-0.0038445918032786906,-0.0033022475409836332,-0.008227893715846956
1.3505464480844873e-05,0.0005639781420765154,-0.0034381980874316673,-0.0036882062841530183,-0.008635112021857913
5.9400546448089286e-05,0.0005510453551912586,-0.0034538398907103655,-0.003694578961748653,-0.008646059836065565
0.0,0.0005688387978142161,-0.003424748633879757,-0.00373509289617488,-0.00862903005464481
0.0,0.00013751366120218558,-0.0038636202185792314,-0.0032775382513661492,-0.008216387978142036
0.0,0.00017134836065574484,-0.0012246816939890887,-0.0038830833333333486,-0.010247616120218545
0.0,0.0005757554644808781,-0.0034216707650272953,-0.0037160177595628695,-0.008622099726775951
0.0,0.0005580573770491842,-0.003426819672131135,-0.003674915300546461,-0.008640355191256825
0.0,0.0005170505464481001,-0.0035377281420764842,-0.00370808333333336,-0.008459271857923485
0.0,0.0005325696721311564,-0.0034545450819671976,-0.003688719945355209,-0.008657337431693987
0.0,-0.0019596844262295206,-0.0056768647540983595,-0.001121351092896166,-0.006487132513661183
0.0,0.0003912937158469902,-0.0035970450819671966,-0.0037434576502732462,-0.008282823770491778
0.0,0.00039697540983605825,-0.0035888688524590043,-0.003738540983606581,-0.008278598360655707
0.0,0.0005326939890710376,-0.0034541174863387853,-0.0036799289617486424,-0.00865368032786885
0.0,0.00055341393442623,-0.0034343456284152882,-0.0036635969945355293,-0.00863950409836065
0.0,0.0005496270491803373,-0.0034466980874316715,-0.0037510942622951,-0.0086428674863388
0.0,0.0005785737704918012,-0.0034159180327868674,-0.003725407103825152,-0.00862128142076502
0.0,0.0005486967213114841,-0.0034465601092895926,-0.0037525054644808905,-0.008642663934426234
0.0,5.6893442622933665e-05,-0.003940174863387985,-0.0033229508196721473,-0.008261800546448032
0.0,-0.0004903483606557412,-0.006699506830601073,-0.0017628019125683265,-0.006259375683060097
0.0,0.0004841420765027381,-0.0035000054644808527,-0.003722199453551934,-0.008690969945355185
0.0,0.0004721775956284223,-0.0035154207650272998,-0.0037212622950819874,-0.008697527322404372
0.0,0.0004493142076502782,-0.003538956284152979,-0.0036462213114754347,-0.008728169398907106
0.0,0.0003792581967213028,-0.0036047336065573583,-0.0037433155737705225,-0.008291241803278653
0.0,0.0005421092896174956,-0.0034527759562841356,-0.0036608524590164013,-0.008648513661202189
0.0,8.291666666665823e-05,-0.0003387991803278756,-0.00472840846994538,-0.010270741803278643
0.0,8.587431693990281e-05,-0.001397617486338798,-0.00391564480874319,-0.010251644808743143
0.0,0.0001466161202185682,-0.0038669740437158443,-0.003319195355191281,-0.008242479508196681
0.0,0.00020698497267760373,-0.0011950396174863502,-0.003915310109289632,-0.01028066803278686
0.0,0.0005457404371584824,-0.003449243169398878,-0.0038165081967213377,-0.0087080218579235
0.0,-0.0019546461748634106,-0.005635837431693993,-0.0011644494535519075,-0.006513099726775926
0.0,-0.0023071680327868944,-0.005472523224043697,-0.0011851379781420753,-0.00652420355191257
0.0,0.0005721188524590304,-0.0034247062841529768,-0.003740203551912594,-0.008698241803278692
0.0,0.0005452677595628522,-0.0034623306010928777,-0.0036951721311475638,-0.008655797814207649
0.0,0.00040463661202184975,-0.0035826666666666546,-0.0037327595628415607,-0.008275243169398875
0.0,0.0004801407103825206,-0.003512307377049167,-0.0037396133879781593,-0.008696252732240423
0.0,-3.39617486338345e-06,-9.535519125682473e-05,-0.004865106557377072,-0.010256174863387951
0.0,0.00045925546448088647,-0.0035471598360655543,-0.003828995901639387,-0.008303132513661177
0.0,0.00021454781420765165,-0.0013059330601092882,-0.003870974043715862,-0.010257673497267734
0.0,-0.0002601024590163474,-0.00880118715846995,-0.0014140314207650576,-0.004719711748633881
0.0,-0.0018905532786885762,-0.005700140710382535,-0.001201859289617458,-0.006533479508196672
0.0,-0.0019780915300546494,-0.005703528688524592,-0.0011425040983606641,-0.006501908469945337
0.0,-0.0019898551912568272,-0.005720398907103821,-0.0011569398907103883,-0.006511838797814202
0.0,-0.00201473497267761,-0.005687259562841544,-0.0011535409836065484,-0.006492497267759532
0.0,-0.002270081967213124,-0.00543501639344261,-0.0010761693989071036,-0.006486765027322401
0.0,-0.0019655601092896423,-0.005690027322404386,-0.0011033879781420612,-0.00649605737704915
0.0,0.0005598128415300538,-0.003435351092896157,-0.0036694494535519256,-0.00863904508196721
0.0,0.00019041939890710943,-0.0013247800546448097,-0.003835222677595648,-0.01021544945355189
0.0,0.00015133743169398056,-0.0013317008196721376,-0.0038479603825136693,-0.010226709016393413
0.0,-0.0001278592896174803,-0.0001724112021857865,-0.00464186202185795,-0.010277900273224016
0.0,0.0001822336065573863,-0.0013361407103825147,-0.0038429494535519295,-0.010223176229508173
0.0,-0.0003724084699453546,-0.008910583333333335,-0.001310260928961751,-0.004545780054644793
0.0,0.0004486939890710438,-0.0035397076502732016,-0.0037677486338798037,-0.008716270491803277
0.0,-0.002011229508196736,-0.005643043715846992,-0.0011474617486338882,-0.006546297814207618
0.0,-0.001958622950819681,-0.00568488797814207,-0.0011209890710382545,-0.006490532786885233
0.0,-0.0019580355191256946,-0.005684300546448084,-0.0011205491803278692,-0.006490147540983591
0.0,0.0005542459016393483,-0.0034483360655737554,-0.0036716666666666868,-0.008647275956284147
0.0,0.000161310109289603,-0.0013205505464480903,-0.00384141666666667,-0.010220375683060076
0.0,0.00016896311475409972,-0.0013449521857923639,-0.0038471215846994674,-0.010231922131147507
0.0,3.42677595628442e-05,-0.00021009289617485467,-0.0047306448087432,-0.010313562841530021
0.0,6.231010928961153e-05,-0.0014556379781420934,-0.003924392076502739,-0.010306312841530012
0.0,0.00043565573770491806,-0.0035610245901639163,-0.0037697868852459037,-0.008722877049180325
0.0,0.0003300136612021873,-0.003677431693989061,-0.003950101092896205,-0.008327513661202154
0.0,0.00048539207650273586,-0.0035201270491803053,-0.0037305505464480986,-0.008689747267759566
0.0,0.0005566857923497356,-0.003448994535519112,-0.003642806010928984,-0.008636918032786878
0.0,0.0004480778688524707,-0.0035663647540983444,-0.0038217008196721777,-0.008243045081967186
0.0,-0.0012968852459016465,0.0003492021857923501,-0.004484286885245916,-0.009825062841530013
0.0,-0.0001432868852458899,-0.00034353278688524584,-0.004795601092896195,-0.009970612021857906
0.0,0.00014234972677597095,-0.0017678715846994625,-0.003641199453551923,-0.009978311475409814
0.0,0.00011280601092896088,-0.0006956912568306024,-0.004637521857923525,-0.009962625683060071
0.0,-0.0014511693989071241,0.0001741721311475427,-0.004436833333333327,-0.009539202185792328
0.0,0.00013626366120219474,-0.0017726953551912604,-0.0036101379781420893,-0.009928463114754073
0.0,0.00010943032786885423,-0.0007654248633879799,-0.004597741803278721,-0.00992929644808739
0.0,-0.00021478961748634326,-0.000618357923497264,-0.004583896174863412,-0.00977398907103821
0.0,0.00011486338797815285,-0.0018259125683060234,-0.0036006666666666748,-0.009906316939890686
0.0,-0.00036665300546447933,-0.0004261065573770625,-0.004184800546448109,-0.010205472677595586
0.0,-0.00028833196721310926,-0.000628154371584705,-0.0045501816939891,-0.009753364754098317
0.0,0.00016879371584700362,-0.0013374631147541117,-0.0038318128415300644,-0.010217550546448058
0.0,0.0007651229508196487,-0.010791612021857864,-0.0010829180327869112,-0.00408562568306011
0.0,0.00017147267759562435,-0.003826874316939875,-0.0032452158469945705,-0.008239415300546414
0.0,0.0005395491803278814,-0.0034553907103824907,-0.0036793743169399045,-0.008651816939890717
0.0,0.0005378142076502869,-0.003451079234972656,-0.0036795273224043863,-0.008654240437158477
0.0,-0.0019596680327868994,-0.005644878415300542,-0.0010990614754098453,-0.006552424863387953
0.0,-0.0019487459016393435,-0.005685248633879772,-0.0011256612021857976,-0.006495377049180327
0.0,9.313387978141831e-05,-0.00035917759562841255,-0.004701030054644843,-0.010287959016393402
0.0,0.00018190846994536013,-0.0013242117486338928,-0.003817356557377065,-0.010192372950819635
0.0,-0.0008259057377049047,0.00021916803278687787,-0.0046319303278688755,-0.009961364754098338
0.0,6.44713114753958e-05,-0.0003605450819672096,-0.00476010792349728,-0.010162851092896137
0.0,0.00012822950819672135,-0.0014089153005464449,-0.003889887978142096,-0.010249459016393419
0.0,0.000565211748633887,-0.0034457581967213035,-0.003711282786885252,-0.008626203551912561
0.0,0.000170801912568316,-0.0013278784153005591,-0.0038180396174863473,-0.010207916666666646
0.0,0.0,-0.00030200637522769143,-0.004695312386156669,-0.010256714025500878
0.0,-2.1693989071034855e-05,-0.00016868306010928244,-0.004813904371584721,-0.010213751366120192
0.0,0.00019094672131148016,-0.0013462663934426214,-0.0038365915300546637,-0.010206121584699433
0.0,0.00012694398907103777,-0.0008061188524590251,-0.004593318306010949,-0.009910539617486301
