feature,mean_abs_shap,mean_shap
feat_mean_remaining_reinst,0.5144226505883503,-0.30086730597729733
feat_security_penalty_cumul,0.43275438010258704,0.3744363090493354
feat_mean_remaining_mig,0.40026656988092757,-0.19911142570108964
feat_max_network_penalty,0.39929957793751863,-0.15462092209787356
feat_mean_network_penalty,0.39454620626866027,0.212866931740283
feat_steps_since_last_mtd,0.2901781632263483,0.013599274115322297
feat_mean_security_penalty,0.1765134643573942,0.06350269383015798
feat_vim1_ram,0.12254751471669724,0.020741939605242853
feat_total_ues,0.08096633641143951,-0.033777703330321415
feat_max_security_penalty,0.061461756867035165,0.048427357250694684
feat_vim0_cpu,0.05731162038206966,-0.007035143383589574
feat_vim1_cpu,0.04655619346280393,-0.02706136717014798
feat_vim0_ram,0.04427483118884226,-0.009814196630953788
feat_min_remaining_mig,0.006678385940402566,-0.0018199381905275272
feat_mean_mtd_overhead,0.0007399163696391217,0.0005334968907654377
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
