feature,mean_abs_shap,mean_shap
feat_steps_since_last_mtd,0.7370687415257189,0.029953685414505105
feat_vim1_ram,0.3888566769202873,-0.015976750928044067
feat_security_penalty_cumul,0.2539859543276588,0.18811980180055413
feat_vim0_ram,0.25308496884709375,-0.06258040108199005
feat_mean_network_penalty,0.2203239551402415,-0.12182061483004736
feat_max_network_penalty,0.20941557864109753,0.06434909563483497
feat_mean_remaining_mig,0.20710978823993678,-0.060228489289628456
feat_mean_remaining_reinst,0.157281772693201,0.006675456209490856
feat_mean_security_penalty,0.14752553898217935,-0.06270779556392678
feat_total_ues,0.10346395798910836,0.007815139664353083
feat_vim0_cpu,0.05843900557983631,0.008684523772273472
feat_vim1_cpu,0.03287788422334673,0.024394193012813235
feat_max_security_penalty,0.016805497830019424,-0.00727477574551267
feat_min_remaining_mig,0.006309379342210125,0.0005969319303248889
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_mtd_overhead,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
