feature,mean_abs_shap,mean_shap
feat_mean_remaining_mig,1.1062257182465514,-0.4449953166279774
feat_mean_security_penalty,0.7373461678830128,0.46402960225509604
feat_mean_remaining_reinst,0.36411586579250926,-0.1620053504055913
feat_mean_network_penalty,0.32181486802703896,0.06179062636487551
feat_max_network_penalty,0.26792387198123707,0.09110931066864064
feat_vim1_ram,0.21987016772709808,-0.045268925445829174
feat_total_ues,0.14354110320460195,-0.06653215323327055
feat_vim0_ram,0.1287871538179222,0.03143967550847857
feat_max_security_penalty,0.08276290380799385,0.060977820307885046
feat_vim0_cpu,0.03510204480964193,0.011467774391426808
feat_vim1_cpu,0.032824591387040754,-0.014389504600984211
feat_min_remaining_mig,0.013524878766090058,0.01199832373044581
feat_mean_mtd_overhead,0.0005784076388916695,0.0003781170868239988
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
