shap_feat_max_apt_score,shap_feat_mean_apt_score,shap_feat_max_dataleak_score,shap_feat_mean_dataleak_score,shap_feat_max_dos_score,shap_feat_mean_dos_score,shap_feat_vim0_cpu,shap_feat_vim0_ram,shap_feat_vim1_cpu,shap_feat_vim1_ram,shap_feat_mean_remaining_mig,shap_feat_mean_remaining_reinst,shap_feat_total_ues,ci,cj,action
0.0,0.0,0.0,0.0,0.0,0.0,-1.6376585499623688,-1.791844011955731,0.237802776414286,2.4276591104242837,-8.631038480919045,3.322991942257614,-5.591042970459023,0,1,7
0.0,0.0,0.0,0.0,0.0,0.0,-8.13147808175382,-10.461704335863809,7.707835197316202,9.797354692446191,10.428087503159515,8.267019844699531,11.485644845796202,0,2,7
0.0,0.0,0.0,0.0,0.0,0.0,-11.972247642919498,-1.146593894472812,-2.92135381164954,1.2651902176338088,-7.191250607596216,4.238274201340471,0.609476937663807,0,3,2
0.0,0.0,0.0,0.0,0.0,0.0,1.953050035119044,3.005645635489037,-1.833169085940959,-2.6779964089109547,8.036105489729051,13.47147953716238,9.167711906352393,0,4,9
0.0,0.0,0.0,0.0,0.0,0.0,1.3550304988080992,-1.2136146329419013,3.038616441718112,5.440104060551423,0.7787778472447884,9.55308223193809,0.9296973576814296,0,5,8
0.0,0.0,0.0,0.0,0.0,0.0,12.486540217047628,2.8735728849909603,2.2963178886976268,-1.324823708949047,10.22037632263098,13.975975913350949,10.168346822030914,0,6,6
0.0,0.0,0.0,0.0,0.0,0.0,-1.1116514546704728,-0.9326367659271608,-0.5342893311104966,-2.0291153241204847,-9.724787790820477,-1.0723387247171183,-5.706239280233811,0,7,4
0.0,0.0,0.0,0.0,0.0,0.0,-0.4010432042814216,1.310148256341903,-2.0445082970947444,3.638506331561894,13.510589046335218,11.876820625621916,21.600949421315228,0,8,10
0.0,0.0,0.0,0.0,0.0,0.0,-0.6036391404299934,-0.3526676390733411,0.3804438273033383,2.992342883143327,-7.746715312683344,-5.109370632993344,-10.438252556866669,0,9,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0795513360238198,2.2493823613971453,0.5641884900604835,-0.3069559942628801,-7.041367064359528,8.523654873973788,0.5664306351671453,0,10,5
0.0,0.0,0.0,0.0,0.0,0.0,0.3537643633024032,4.048563331262415,0.6738466034023681,0.4049882486757056,11.2158027433657,13.208453771795716,11.882131021195708,0,11,1
0.0,0.0,0.0,0.0,0.0,0.0,-1.1875308642862097,-2.351197089456165,3.853209738840482,-4.492425435196172,4.010049974313817,10.673033400577117,3.3360221150071427,1,2,6
0.0,0.0,0.0,0.0,0.0,0.0,-0.7436197876814402,0.5776441943251979,-0.5367890601214308,0.0888350399519204,-10.22900853665476,-5.706015436541395,-10.549215653478088,1,3,6
0.0,0.0,0.0,0.0,0.0,0.0,2.240039183667164,-0.9924603543261976,-0.2493942977428513,-3.58759265263951,-1.1355072878961976,9.432052894683808,-0.0232250627462056,1,4,1
0.0,0.0,0.0,0.0,0.0,0.0,1.3763148825476463,-3.5763238307257184,-2.3801937349090427,-5.44702439739239,-10.876563291889044,3.4346045282209463,-9.103180732852392,1,5,1
0.0,0.0,0.0,0.0,0.0,0.0,-1.933264895220482,-4.830360437760484,1.0541908748295303,3.0199353779228573,-2.453161599820447,7.012568211419525,-0.9178859663704624,1,6,8
0.0,0.0,0.0,0.0,0.0,0.0,-0.7500067140595132,5.537646716793856,0.3053497831104863,-0.99761309800619,-10.607783032482876,-12.84613473178952,-9.1347575085662,1,7,8
0.0,0.0,0.0,0.0,0.0,0.0,-1.5496710533685771,-5.20372821196194,6.906679820384768,12.84195713826812,6.678239521351425,12.076123218791444,7.447361502334779,1,8,7
0.0,0.0,0.0,0.0,0.0,0.0,0.5359637951109782,-0.2289661352290437,2.317683692044288,2.51562811281095,-9.002648691599038,-17.92070963659911,-6.816832708139049,1,9,4
0.0,0.0,0.0,0.0,0.0,0.0,-2.093556310322382,-0.9563318238056908,-1.302454168919056,-1.307365054649016,-13.438060736322402,-2.9994182183790428,-5.955252364602413,1,10,1
0.0,0.0,0.0,0.0,0.0,0.0,4.519664909000454,-0.89982310822953,-0.4138182937928576,-0.7192096576928511,2.5683235363371404,10.83984991052048,2.6321855518571438,1,11,5
