shap_feat_max_apt_score,shap_feat_mean_apt_score,shap_feat_max_dataleak_score,shap_feat_mean_dataleak_score,shap_feat_max_dos_score,shap_feat_mean_dos_score,shap_feat_vim0_cpu,shap_feat_vim0_ram,shap_feat_vim1_cpu,shap_feat_vim1_ram,shap_feat_mean_remaining_mig,shap_feat_mean_remaining_reinst,shap_feat_total_ues,ci,cj,action
0.0,0.0,0.0,0.0,0.0,0.0,0.8385821269284968,1.2968957199047797,0.4174345178685755,0.4457644141203569,-0.4470292056817356,1.110389458303914,-0.170601103152499,0,1,11
0.0,0.0,0.0,0.0,0.0,0.0,-0.2168216631638113,-0.3935662374649181,-0.3015857353475056,-0.5088070330862249,2.1272792304201307,2.403735177655704,1.729367281814329,0,2,7
0.0,0.0,0.0,0.0,0.0,0.0,0.2629499821314688,-0.2782918549383417,2.022276443228283,1.4502738983029158,2.8559816845108066,1.9148816202609191,1.1824651308931202,0,3,10
0.0,0.0,0.0,0.0,0.0,0.0,-0.3785369777606737,-0.1386471014111605,-1.1484430513175174,-1.2175431881460177,2.8785124549648,3.2175302826210648,-0.7392766614119083,0,4,10
0.0,0.0,0.0,0.0,0.0,0.0,1.143824471687538,0.4034885160474145,0.2158596441671857,-0.1543660524434222,-0.1446072420190605,2.024700054665122,1.3447397147894655,0,5,5
0.0,0.0,0.0,0.0,0.0,0.0,0.6948626176242145,0.0479446244528123,-0.3759909898875123,-0.3039082205017905,1.4339638497131733,1.940037632118489,1.6177031039880057,0,6,7
0.0,0.0,0.0,0.0,0.0,0.0,1.0324384946253444,0.3013034524144811,0.138580984075816,-0.1667393971356197,-0.0770477330175278,1.8302119470292604,1.7748913589024895,0,7,5
0.0,0.0,0.0,0.0,0.0,0.0,0.7600573614114717,0.0732560354603217,-0.2534770457335974,-0.0547925305680214,1.412105507816397,2.964495723773338,1.4929352930086142,0,8,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0813870869312852,0.5651411723564856,0.2264512088305448,0.6688549372980459,0.1324259522749817,0.0246446081682734,0.3539121118180172,0,9,1
0.0,0.0,0.0,0.0,0.0,0.0,0.1469758651524113,0.2951475059974064,-0.3364156833485651,-0.6262753710396959,3.435020006562759,4.68048628129249,-1.5423233005694348,0,10,10
