shap_feat_max_apt_score,shap_feat_mean_apt_score,shap_feat_max_dataleak_score,shap_feat_mean_dataleak_score,shap_feat_max_dos_score,shap_feat_mean_dos_score,shap_feat_vim0_cpu,shap_feat_vim0_ram,shap_feat_vim1_cpu,shap_feat_vim1_ram,shap_feat_mean_remaining_mig,shap_feat_mean_remaining_reinst,shap_feat_total_ues,ci,cj,action
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007249112932604,-0.0008444752276866,0.0,0.000104716848816,-0.0009984700364298,-0.0017647268670309,0.0017950796903461,0,1,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002894682149362,-0.0001656583788706,-0.0003783097449909,-0.0073162600182149,-0.0058417835154826,-0.0014435529143898,0,2,8
0.0,0.0,0.0,0.0,0.0,0.0,-6.560581576893441e-05,-0.0002986588212333,-5.985882123341231e-05,-0.0003317760343481,-0.0069591894223262,-0.0052275651053863,-0.0022773787665886,0,3,8
0.0,0.0,0.0,0.0,0.0,0.0,-0.0001613964480874,-0.000100593989071,0.000294600546448,-0.0006599636612022,0.0023174204918032,0.0018380833333333,0.0078812923497268,0,4,9
0.0,0.0,0.0,0.0,0.0,0.0,-0.0005298385636221,-0.0001273074160811,0.0015278270101483,0.0022388122560499,-0.0018652962138953,-0.002376831733021,0.0033551264637002,0,5,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0003041416861826,-3.936842310694154e-05,-0.000243562958626,-0.002152187822014,-0.0004356498438719,-0.0015716058548009,-0.0042753241608118,0,6,9
0.0,0.0,0.0,0.0,0.0,0.0,-0.0015925397345823,-0.0015796686963309,0.0004970425058548,0.0009323050741608,-5.367771272441965e-05,-0.0012832624121779,-0.003894756401249,0,7,9
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007249112932604,-0.0008444752276866,0.0,0.000104716848816,-0.0009984700364298,-0.0017647268670309,0.0017950796903461,0,8,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0019384395784543,-0.0029070402029664,-0.0001972956674473,-0.0030726358313817,-0.0047283079625292,-0.006099119437939,-0.0004030732630757,0,9,8
0.0,0.0,0.0,0.0,0.0,0.0,-0.0013589650663544,-0.0015631027712724,-0.0006590000390319,-0.0017224284543325,0.0003332551522248,-0.0009239650663543,-0.0010803511319281,0,10,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006302805555555,-1.296033697630386e-05,-0.0008960330145719,-0.0051488953096539,-0.0057107685336976,-0.0030360950364299,0,11,8
0.0,0.0,0.0,0.0,0.0,0.0,-0.0005200656908665,0.0003104711943793,-5.056787665886188e-05,9.739168618264936e-05,-0.0015551550351287,-0.0029618962919593,0.0024467892271662,1,2,8
0.0,0.0,0.0,0.0,0.0,0.0,-0.0007534909055425,-0.000375856479313,0.0005693339578454,0.0010685749414519,-0.0027961802498048,-0.0035419305230288,0.0035965164715066,1,3,8
