step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,weighted_resource_diff,weighted_network_diff,weighted_security_diff,best_weighted_q_resource,best_weighted_q_network,best_weighted_q_security,alt_weighted_q_resource,alt_weighted_q_network,alt_weighted_q_security,prob_action_0,prob_action_1,prob_action_2,prob_action_3,prob_action_4,prob_action_5,prob_action_6,prob_action_7,prob_action_8,prob_action_9,prob_action_10,prob_action_11,max_prob,max_prob_action,policy_entropy,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_steps_since_last_mtd,feat_total_ues,feat_nb_resources
11,EUPG,MORL_vec,MORL_RDX,9,1,1,0,"Action 9 was executed via stochastic sampling; the highest-probability action (action 1) was not chosen. Relative to the highest-probability action: action 9 is better on Resource, Security, worse on Network. Per-component: Resource: gains 35.355 weighted; Network: loses 5.057 weighted; Security: gains 10.699 weighted.",35.355244,-5.057085,10.699292,13.622437,-7.949085,8.034838,-21.732805,-2.8920004,-2.6644547,0.074548,0.129517,0.083686,0.127358,0.059803,0.040307,0.111284,0.067982,0.091248,0.071232,0.037943,0.105092,0.129517,1,2.420869,22.0,188.5,18.0,102.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,30.787109375,0.780089795589447,5.41015625,0.0728934183716774,142.0,277.71429443359375,0.0,1026.857177734375,0.0,29.0,7.0
12,EUPG,MORL_vec,MORL_RDX,4,1,1,0,"Action 4 was executed via stochastic sampling; the highest-probability action (action 1) was not chosen. Relative to the highest-probability action: action 4 is better on Resource, Security, worse on Network. Per-component: Resource: gains 16.108 weighted; Network: loses 7.398 weighted; Security: gains 1.850 weighted.",16.108412,-7.398284,1.8498503,-4.9319696,-10.351255,-0.14590527,-21.04038,-2.9529717,-1.9957556,0.076241,0.130104,0.084511,0.126505,0.058806,0.038987,0.109927,0.068472,0.090878,0.071712,0.037958,0.105898,0.130104,1,2.420219,26.0,196.625,14.0,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,33.5859375,0.779876172542572,5.41015625,0.0819789320230484,142.0,277.5714416503906,0.0,1026.857177734375,0.0,29.0,7.0
13,EUPG,MORL_vec,MORL_RDX,3,3,2,1,Action 3 was executed and matches the highest-probability action (action 3). Compared to next-best action 2: lower Q on all objectives vs next-best. Per-component: Resource: loses 16.242 weighted; Network: loses 1.500 weighted; Security: loses 10.091 weighted.,-16.242071,-1.4997761,-10.090874,0.9036698,-3.1448827,9.672943,17.14574,-1.6451064,19.763817,0.078382,0.127157,0.094191,0.133712,0.06532,0.035485,0.113859,0.066749,0.102627,0.059322,0.032623,0.090573,0.133712,3,2.408532,26.0,196.625,14.0,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,36.384765625,0.7864853739738464,5.40625,0.0819789320230484,142.0,277.5714416503906,0.0,1026.7142333984375,1.0,29.0,7.0
14,EUPG,MORL_vec,MORL_RDX,0,3,3,0,"Action 0 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 0 is better on Resource, Network, worse on Security. Per-component: Resource: gains 12.763 weighted; Network: gains 4.070 weighted; Security: loses 20.224 weighted.",12.763448,4.069974,-20.223614,13.784418,1.267771,-10.475301,1.0209702,-2.802203,9.748312,0.078137,0.127086,0.094119,0.133603,0.065931,0.035391,0.113208,0.066467,0.102652,0.059548,0.032488,0.091369,0.133603,3,2.408685,26.0,196.625,14.0,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,39.18359375,0.7797938585281372,5.40625,0.0819789320230484,142.0,277.5714416503906,0.0,1026.7142333984375,2.0,29.0,7.0
15,EUPG,MORL_vec,MORL_RDX,10,3,3,0,Action 10 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 10 is worse on all objectives. Per-component: Resource: loses 8.363 weighted; Network: loses 11.049 weighted; Security: loses 15.667 weighted.,-8.363055,-11.048985,-15.666755,-7.1782,-13.411241,-5.9165955,1.1848549,-2.3622549,9.750159,0.078136,0.127086,0.094118,0.133602,0.065933,0.035391,0.113207,0.066467,0.102652,0.059549,0.032488,0.091371,0.133602,3,2.408686,26.0,196.625,16.0,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,41.982421875,0.7866047620773315,5.40625,0.0819789320230484,142.0,277.5714416503906,0.0,1026.7142333984375,0.0,28.0,7.0
16,EUPG,MORL_vec,MORL_RDX,6,3,3,0,"Action 6 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 6 is better on Resource, Network, worse on Security. Per-component: Resource: gains 6.806 weighted; Network: gains 14.513 weighted; Security: loses 6.953 weighted.",6.806157,14.51296,-6.953286,8.167185,12.450408,2.8268988,1.3610271,-2.0625527,9.780186,0.078136,0.127086,0.094119,0.133602,0.065933,0.035391,0.113207,0.066466,0.102652,0.059549,0.032488,0.091371,0.133602,3,2.408686,28.0,198.625,14.0,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,44.78125,0.7795006632804871,5.40625,0.0819789320230484,142.0,277.4285583496094,0.0,1026.7142333984375,0.0,29.0,7.0
17,EUPG,MORL_vec,MORL_RDX,7,1,1,0,"Action 7 was executed via stochastic sampling; the highest-probability action (action 1) was not chosen. Relative to the highest-probability action: action 7 is better on Resource, Security, worse on Network. Per-component: Resource: gains 21.709 weighted; Network: loses 1.101 weighted; Security: gains 0.692 weighted.",21.709425,-1.1006413,0.6924739,-0.3323313,-3.5791519,-1.9516138,-22.041756,-2.4785106,-2.6440878,0.076243,0.130103,0.084522,0.126513,0.058814,0.038982,0.109931,0.068469,0.090891,0.071697,0.037951,0.105883,0.130103,1,2.420209,30.0,200.625,10.0,90.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,47.580078125,0.7797132134437561,5.41015625,0.0819789320230484,142.0,277.4285583496094,0.0,1026.5714111328125,0.0,29.0,7.0
18,EUPG,MORL_vec,MORL_RDX,4,3,3,0,Action 4 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 4 is worse on all objectives. Per-component: Resource: loses 5.400 weighted; Network: loses 7.411 weighted; Security: loses 11.718 weighted.,-5.399702,-7.410977,-11.718074,-4.2018704,-9.612685,-2.0437229,1.1978317,-2.2017086,9.674352,0.078142,0.127089,0.094117,0.133603,0.065915,0.035395,0.113222,0.066474,0.102648,0.059547,0.032493,0.091356,0.133603,3,2.408687,26.0,192.5,10.0,90.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,50.37890625,0.00813947431743145,0.01338958740234375,0.0819789320230484,142.0,277.28570556640625,0.0,1026.5714111328125,0.0,29.0,7.0
19,EUPG,MORL_vec,MORL_RDX,0,3,3,0,"Action 0 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 0 is better on Resource, Network, worse on Security. Per-component: Resource: gains 13.044 weighted; Network: gains 3.755 weighted; Security: loses 19.785 weighted.",13.043689,3.7546809,-19.785141,13.992732,0.91540736,-10.296938,0.9490425,-2.8392732,9.488204,0.084782,0.129054,0.096124,0.136633,0.050435,0.037967,0.129368,0.074161,0.101985,0.053692,0.036221,0.069579,0.136633,3,2.398375,26.0,192.5,8.0,88.4375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,53.177734375,0.007906232960522175,0.0123443603515625,0.0819789320230484,142.0,277.28570556640625,0.0,1026.4285888671875,1.0,29.0,7.0
20,EUPG,MORL_vec,MORL_RDX,6,3,3,0,"Action 6 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 6 is better on Resource, Network, worse on Security. Per-component: Resource: gains 7.136 weighted; Network: gains 14.503 weighted; Security: loses 6.715 weighted.",7.136043,14.503107,-6.715446,8.130359,11.891635,2.8488333,0.9943161,-2.6114724,9.56428,0.078274,0.127126,0.094159,0.133664,0.065588,0.035444,0.113574,0.066626,0.102638,0.059421,0.032564,0.090922,0.133664,3,2.408601,26.0,192.5,14.0,98.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,55.9765625,0.041967663913965225,0.194091796875,0.0819789320230484,142.0,277.28570556640625,0.0,1026.4285888671875,0.0,28.0,7.0
