step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,best_q,alt_q,delta
13,A2C,A2C_Q,SingleObjective_PolicyBased,4,0,0,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 0): +15.6146. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-5.103267669677734,-20.717910766601562,15.614643096923828
14,A2C,A2C_Q,SingleObjective_PolicyBased,7,0,0,0,"Action 7 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 7 vs highest-logit action (action 0): +9.6745. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-12.076227188110352,-21.75069808959961,9.674470901489258
15,A2C,A2C_Q,SingleObjective_PolicyBased,11,0,0,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 0): +22.4800. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-0.455593079328537,-22.93555450439453,22.479961395263672
16,A2C,A2C_Q,SingleObjective_PolicyBased,0,0,2,1,"Action 0 was executed and matches the highest-logit action (action 0). TD-trained Q-value vs next-best action 2: -117.1762. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-22.50181770324707,94.67439270019531,-117.17620849609375
17,A2C,A2C_Q,SingleObjective_PolicyBased,7,0,0,0,"Action 7 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 7 vs highest-logit action (action 0): +10.2978. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-9.712817192077637,-20.010644912719727,10.29782772064209
18,A2C,A2C_Q,SingleObjective_PolicyBased,10,0,0,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 0): -15.0562. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-35.7782096862793,-20.72197151184082,-15.056238174438477
19,A2C,A2C_Q,SingleObjective_PolicyBased,0,0,2,1,"Action 0 was executed and matches the highest-logit action (action 0). TD-trained Q-value vs next-best action 2: -112.7347. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-19.286563873291016,93.44810485839844,-112.73466491699219
20,A2C,A2C_Q,SingleObjective_PolicyBased,6,0,0,0,"Action 6 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 6 vs highest-logit action (action 0): +39.0411. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",19.01863670349121,-20.022432327270508,39.04106903076172
21,A2C,A2C_Q,SingleObjective_PolicyBased,8,2,2,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 2) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 2): -95.8312. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-1.3779218196868896,94.45329284667969,-95.83121490478516
22,A2C,A2C_Q,SingleObjective_PolicyBased,4,2,2,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 2) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 2): -97.3115. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-2.996821641921997,94.31466674804688,-97.31148529052734
