feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues
0.0,0.0,0.0,0.0,0.0,0.0,0.17607846563543758,0.096147876438752,0.37187562663314494,0.11983476662224075,1.9329624196189679,1.3862643691143153,-0.08822366733399623
0.0,0.0,0.0,0.0,0.0,0.0,0.2006355154083073,0.11296294471735825,0.3640152964370015,0.13506093028059493,1.8382435006941875,1.3816886626424085,-0.037666993450995
0.0,0.0,0.0,0.0,0.0,0.0,0.11379402804627858,0.21003924366640878,1.0359653767941728,1.31911465684164,4.633267482757876,2.3849372466376186,0.502372650773108
0.0,0.0,0.0,0.0,0.0,0.0,0.11284596049531663,0.043673043925460675,0.5623597371853211,0.4010235639561779,1.4888294697349052,1.163176185187304,0.22303189624437766
0.0,0.0,0.0,0.0,0.0,0.0,0.11284596049531663,0.043673043925460675,0.5623597371853211,0.4010235639561779,1.4888294697349052,1.163176185187304,0.22303189624437766
0.0,0.0,0.0,0.0,0.0,0.0,0.202658639684727,0.11798579434932488,0.34547684101819864,0.16430325755002242,1.8443156393721765,1.3746932125283078,-0.05449352777389471
0.0,0.0,0.0,0.0,0.0,0.0,0.15798632123351605,0.035338594407939794,0.3474014718140329,0.1692066834336828,1.8069908221149444,1.4735131095939407,0.004502854130806089
0.0,0.0,0.0,0.0,0.0,0.0,0.15805193329987577,0.03540420647429949,0.34723744164813336,0.16927229550004252,1.8068267919490457,1.4735787216603007,0.004568466197165222
0.0,0.0,0.0,0.0,0.0,0.0,0.1446173251547498,-0.018309522421053437,0.3012517654869087,0.15108471731051618,1.8775824050145304,1.5862377465870614,-0.047524580403850346
0.0,0.0,0.0,0.0,0.0,0.0,0.07011608288802779,-0.1387875008879579,0.044048385143650344,0.004538786690484908,1.9779439170534954,1.8446146114741773,0.1924655743669848
0.0,0.0,0.0,0.0,0.0,0.0,0.1794322975276918,-0.15138556377155177,0.011347511012693268,-0.057080312381699944,2.1060787861100603,2.021229790133462,-0.11468265190179286
0.0,0.0,0.0,0.0,0.0,0.0,0.21207567100462899,0.3800977053665201,0.31739341523012365,0.18701382068403574,4.942473400123263,4.01079748680959,0.14963918629894124
0.0,0.0,0.0,0.0,0.0,0.0,0.06052309001169287,-0.14747118946334883,0.04855523116451621,0.020299977019087923,1.969756588621129,1.8360968482426163,0.2071793111331689
0.0,0.0,0.0,0.0,0.0,0.0,0.19644782985101478,-0.11042377924238568,0.032375841045497594,-0.030993670902117465,2.0391371771585716,1.9744431468958719,-0.10604668807758856
0.0,0.0,0.0,0.0,0.0,0.0,0.20051904352860428,-0.11169028834478273,0.02965603846105419,-0.03504790418156034,2.0350829438791327,1.9771799298784647,-0.1007599064920508
0.0,0.0,0.0,0.0,0.0,0.0,0.26465162393276853,-0.14154683930222126,-0.011771076304554207,0.016225796316450037,2.0412108377477303,2.099026361095792,-0.2728568467571022
