shap_feat_mean_mtd_overhead,shap_feat_mean_network_penalty,shap_feat_max_network_penalty,shap_feat_mean_security_penalty,shap_feat_max_security_penalty,ci,cj,action
0.0,2.885301315659906,-1.227102384219612,-5.714330318464601,3.1814295926909733,0,1,6
0.0,-0.7705034890443994,-2.4944226833490895,-5.744996081742148,-11.769448024531043,0,2,4
0.0,0.20858544317515126,-4.266005432752843,10.411264810923273,28.705552903321067,0,3,4
0.0,18.616386509352868,44.402005124708374,27.738334889860027,30.590337114299512,0,4,2
0.0,5.972976082366589,37.67025060577732,11.098925298872599,23.49191971185014,0,5,11
46.61730249137012,12.757504693169423,4.972729988008531,55.083258048504035,74.53913464487289,0,6,0
0.0,3.9910815595103073,10.27042073956657,7.754579384537359,14.547821204385754,0,7,4
0.0,7.855380548466503,36.927629693799865,9.140275721994302,24.237345181272655,0,8,11
0.0,-0.9712379956250793,-2.1075704383198084,-2.326073947510892,-4.628113137210897,0,9,4
0.0,-2.327268921264749,19.155383169680594,3.680428143973044,7.038815455611096,0,10,5
0.0,-0.19416284509682671,21.047552679525413,8.020648766584598,7.432469191320152,0,11,6
0.0,-0.13558835941992964,-1.1049855985414982,-2.729236074730384,7.345995791691812,1,2,6
0.0,0.5511019946485044,1.6360025337020279,-1.8662737715974629,11.08946910011362,1,3,7
0.0,3.92310330591539,-4.873330394117242,19.402406112459783,39.33314702140874,1,4,6
0.0,1.1004887047120258,26.681900482823153,3.34228184381019,13.495109099921308,1,5,2
0.0,17.208801618260946,24.369461679118995,8.604304698213745,26.183365749406324,1,6,10
0.0,3.251032835594614,-0.8482100306530517,-3.857771083498566,-9.110096739109666,1,7,6
0.0,0.26699940884416046,6.243739590333427,-3.6520023224554428,-3.5270997054554734,1,8,2
0.0,-0.049192258517250564,-2.315273704975433,-8.317468340325886,-28.38913188818144,1,9,4
0.0,2.042145090031719,-0.7291529629116077,2.013882049889944,17.06304386152329,1,10,8
0.0,0.7193156852908476,-3.603407116447182,-0.9491321614884841,-15.501086390488481,1,11,7
0.0,-0.4605481534363462,-0.8998831501582494,2.7320186432639795,14.97159772166394,2,3,5
0.0,5.784657983635657,6.249435838493965,26.931738420249662,51.82250091555406,2,4,2
0.0,0.4219284994523602,-4.170150530737028,8.404750848439992,29.37879785804468,2,5,8
0.0,8.571215469260096,18.536829105493254,35.13663493166566,67.51129618381972,2,6,11
0.0,-6.162251648062661,3.039991679739469,-2.3535924596281816,41.23106009348469,2,7,11
0.0,13.131737613256504,9.373988091237898,25.999965611730335,46.521651695041946,2,8,2
0.0,-1.5780306722639672,-2.4498332438142696,-3.1263922058608764,-2.6456473867275627,2,9,4
0.0,5.334921439194449,-10.35150906790309,18.661086322939983,54.479490654501994,2,10,9
0.0,0.027675613449735792,4.072649436861191,-1.7641227974276763,13.550427375050097,2,11,2
0.0,19.43074417726289,45.0892071270783,28.819452930312565,31.298904507189736,3,4,2
0.0,10.927092615019005,30.768012977307894,10.053556007625446,15.927620685247666,3,5,8
0.0,17.72923908956216,39.14652182460886,12.984274721098572,19.75097718059708,3,6,8
0.0,5.382167644109462,37.64597148256304,12.270535011353424,22.555270016974067,3,7,10
0.0,20.46944125965268,35.24722340164678,19.968036435616934,26.789261295150283,3,8,9
0.0,3.686748108681727,-0.7979972193504796,-1.4906252038156225,3.027050339684387,3,9,8
0.0,-0.5276741930851921,-4.795514418257713,-4.8595982450507735,-20.884001758939668,3,10,4
0.0,0.7898614261598649,-0.4108703918079694,3.195431361007394,15.916848359840726,3,11,8
0.0,32.16857543011681,56.633008639707576,30.659712360362505,38.76099746369476,4,5,8
0.0,-1.9753960929794963,4.6282746439744615,2.2670976394080706,16.170447744263623,4,6,4
0.0,4.547868881062553,6.0974388435950795,26.656362795166583,46.05997225701896,4,7,6
0.0,3.5756453815984504,8.782105027278051,28.52602719238162,51.59805226000856,4,8,2
0.0,4.9650721584271285,36.88076528940989,8.803937650308425,22.264340140721206,4,9,11
0.0,24.55420248005326,4.193322511821144,30.885554041118542,50.233936231232946,4,10,1
0.0,4.135688916984042,8.31671505128609,18.78947640590609,42.74030354175715,4,11,1
0.0,19.093839619580617,41.87204019665324,25.069328985096423,28.58083954729088,5,6,0
0.0,6.4204238482050755,33.8503198022913,11.673618729335422,19.67747760276822,5,7,1
0.0,18.32195949339086,35.33579120003534,11.114907288819987,23.211600913153813,5,8,9
0.0,0.6000968839132278,2.2552668426030116,-0.21311817466922145,12.233170290019665,5,9,8
0.0,2.8439626021666604,-3.1117999890222072,-3.871123972622231,26.711655154144438,5,10,5
0.0,1.5126671929947928,-3.7290048121554,6.569782201148617,26.205942043678657,5,11,6
0.0,20.403032568523177,38.191032747845426,10.924383117554585,22.997677808143482,6,7,9
0.0,5.29533079514727,19.329634151471346,38.93020213561916,58.50926912561612,6,8,3
0.0,1.7770388846775076,-2.069138536015691,14.397309807171943,42.99079710623291,6,9,9
42.66695771258049,8.709904243415385,11.596427905256126,45.50840030473984,85.37155192548005,6,10,0
0.0,3.5756453815984504,8.782105027278051,28.52602719238162,51.59805226000856,6,11,2
0.0,4.113481825481901,22.001076996893,7.027134839373663,6.776800581184779,7,8,3
0.0,0.7139905623261695,-4.062326677411863,-1.951443323990481,-16.6016704607238,7,9,7
